Latin Name,Colloquial Name,Taxonomy
symphyotrichum ericoides,white heath aster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Symphyotrichinae,Symphyotrichum,Virgulus,Ericoidei"
symphyotrichum laeve,smooth blue aster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Symphyotrichinae,Symphyotrichum,Symphyotrichum,Symphyotrichum,Heterophylli"
symphyotrichum lanceolatum,panicled aster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Symphyotrichinae,Symphyotrichum,Symphyotrichum,Symphyotrichum,Dumosi"
symphyotrichum lateriflorum,calico aster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Symphyotrichinae,Symphyotrichum,Symphyotrichum,Symphyotrichum,Dumosi"
symphyotrichum novae-angliae,New England aster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Symphyotrichinae,Symphyotrichum,Virgulus,Polyliguli"
symphyotrichum novi-belgii,New York aster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Symphyotrichinae,Symphyotrichum,Symphyotrichum,Symphyotrichum,Symphyotrichum"
symphyotrichum pilosum,hairy white oldfield aster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Symphyotrichinae,Symphyotrichum,Symphyotrichum,Symphyotrichum,Porteriani"
symphyotrichum puniceum,swamp aster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Symphyotrichinae,Symphyotrichum,Symphyotrichum,Symphyotrichum,Symphyotrichum"
symphyotrichum sericeum,silky aster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Symphyotrichinae,Symphyotrichum,Virgulus,Concolores"
symphyotrichum subulatum,southern annual saltmarsh aster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Symphyotrichinae,Symphyotrichum,Astropolium"
syncarpha vestita,Cape Snow,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Gnaphalieae,Gnaphaliinae,Syncarpha"
tagetes lucida,Mexican Marigold,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Tageteae,Tagetes"
tagetes lunulata,Red-crescent marigold,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Tageteae,Tagetes"
tanacetum bipinnatum,dune tansy,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Anthemideae,Anthemidinae,Tanacetum"
tanacetum parthenium,feverfew,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Anthemideae,Anthemidinae,Tanacetum"
tanacetum vulgare,tansy,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Anthemideae,Anthemidinae,Tanacetum"
taraxacum erythrospermum,red-seeded dandelion,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,Crepidinae,Taraxacum,Erythrosperma"
taraxacum officinale,common dandelion,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,Crepidinae,Taraxacum,Taraxacum"
tarchonanthus littoralis,Coastal Camphorbush,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Carduoideae,Tarchonantheae,Tarchonanthus"
tetraneuris linearifolia,Fineleaf Four-nerved Daisy,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Helenieae,Tetraneurinae,Tetraneuris"
tetraneuris scaposa,Stemmy Four-nerved Daisy,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Helenieae,Tetraneurinae,Tetraneuris"
thelesperma filifolium,stiff greenthread,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Coreopsideae,Thelesperma"
thelesperma megapotamicum,Rayless Greenthread,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Coreopsideae,Thelesperma"
thymophylla pentachaeta,Parralena,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Tageteae,Thymophylla"
tithonia diversifolia,Mexican sunflower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Helianthinae,Tithonia"
tithonia tubaeformis,tree marigold,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Helianthinae,Tithonia"
tragopogon dubius,Yellow Salsify,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,Scorzonerinae,Tragopogon"
tragopogon porrifolius,purple salsify,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,Scorzonerinae,Tragopogon"
tragopogon pratensis,meadow salsify,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,Scorzonerinae,Tragopogon"
trichoptilium incisum,yellowhead,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Helenieae,Psathyrotinae,Trichoptilium"
tridax procumbens,Tridax daisy,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Millerieae,Dyscritothamninae,Tridax"
tripleurospermum inodorum,scentless mayweed,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Anthemideae,Anthemidinae,Tripleurospermum"
tripolium pannonicum,Sea Aster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Bellidinae,Tripolium"
trixis californica,American threefold,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Mutisioideae,Nassauvieae,Trixis"
tussilago farfara,colt's-foot,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Senecioneae,Tussilagininae,Tussilago"
uropappus lindleyi,silverpuffs,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,Microseridinae,Uropappus"
urospermum dalechampii,smooth golden fleece,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,Hypochaeridinae,Urospermum"
urospermum picroides,False Hawkbit,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,Hypochaeridinae,Urospermum"
venegasia carpesioides,canyon sunflower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Madieae,Venegasia"
verbesina alternifolia,Wingstem,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Verbesininae,Verbesina"
verbesina encelioides,cowpen daisy,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Verbesininae,Verbesina"
verbesina virginica,frostweed,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Verbesininae,Verbesina"
vernonia baldwinii,Western Ironweed,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Vernonioideae,Vernonieae,Vernoniinae,Vernonia"
vernonia fasciculata,Smooth Ironweed,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Vernonioideae,Vernonieae,Vernoniinae,Vernonia"
vernonia gigantea,Tall Ironweed,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Vernonioideae,Vernonieae,Vernoniinae,Vernonia"
vernonia missurica,Missouri Ironweed,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Vernonioideae,Vernonieae,Vernoniinae,Vernonia"
vernonia noveboracensis,New York ironweed,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Vernonioideae,Vernonieae,Vernoniinae,Vernonia"
viguiera dentata,Toothleaf Goldeneye,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Helianthinae,Viguiera"
wedelia hispida,Texas creeping-oxeye,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Ecliptinae,Wedelia"
wyethia angustifolia,narrowleaf mule-ears,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Engelmanniinae,Wyethia"
wyethia glabra,smooth mule-ears,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Engelmanniinae,Wyethia"
wyethia mollis,woolly mule's ears,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Engelmanniinae,Wyethia"
xanthisma spinulosum,Spiny Goldenweed,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Machaerantherinae,Xanthisma"
xanthium orientale,common cocklebur,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Ambrosiinae,Xanthium"
xanthium spinosum,spiny cocklebur,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Ambrosiinae,Xanthium"
xanthium strumarium,rough cocklebur,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Ambrosiinae,Xanthium"
xylorhiza orcuttii,Orcutt's Woodyaster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Machaerantherinae,Xylorhiza"
xylorhiza tortifolia,Mojave Woodyaster,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Astereae,Machaerantherinae,Xylorhiza"
youngia japonica,Oriental false hawksbeard,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Cichorioideae,Cichorieae,Crepidinae,Youngia"
zinnia acerosa,desert zinnia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Zinniinae,Zinnia"
zinnia elegans,Elegant Zinnia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Zinniinae,Zinnia"
zinnia grandiflora,Rocky Mountain zinnia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Zinniinae,Zinnia"
zinnia peruviana,Peruvian zinnia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Heliantheae,Zinniinae,Zinnia"
campanula aparinoides,Marsh Bellflower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanula"
campanula barbata,Bearded Bellflower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanula"
campanula glomerata,clustered bellflower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanula"
campanula lasiocarpa,Mountain Harebell,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanula"
campanula latifolia,Giant Bellflower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanula"
campanula patula,Spreading Bellflower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanula"
campanula persicifolia,Peach-leaved Bellflower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanula"
campanula prenanthoides,California Harebell,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Smithiastrum"
campanula rapunculoides,Creeping Bellflower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanula"
campanula rapunculus,Rampion,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanula"
campanula rotundifolia,Common Harebell,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanula,Campanula rotundifolia"
campanula sibirica,Siberian Bellflower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanula"
campanula trachelium,Nettle-leaved Bellflower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanula"
campanulastrum americanum,tall bellflower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Campanulastrum"
hippobroma longiflora,Star of Bethlehem,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Lobelioideae,Hippobroma"
jasione montana,Sheep's-bit,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Jasione"
lobelia anceps,Punakuru,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Lobelioideae,Lobelia,Stenotium"
lobelia angulata,pānakenake,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Lobelioideae,Lobelia,Hypsela"
lobelia cardinalis,cardinal flower,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Lobelioideae,Lobelia,Lobelia"
lobelia dortmanna,Water Lobelia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Lobelioideae,Lobelia,Lobelia"
lobelia inflata,Indian tobacco,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Lobelioideae,Lobelia,Lobelia"
lobelia kalmii,Kalm's Lobelia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Lobelioideae,Lobelia,Lobelia"
lobelia laxiflora,Sierra Madre lobelia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Lobelioideae,Lobelia,Homochilus"
lobelia pinifolia,Pineleaf Lobelia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Lobelioideae,Lobelia,Delostemon"
lobelia puberula,downy lobelia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Lobelioideae,Lobelia,Lobelia"
lobelia siphilitica,great blue lobelia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Lobelioideae,Lobelia,Lobelia"
lobelia spicata,pale-spiked lobelia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Lobelioideae,Lobelia,Lobelia"
phyteuma orbiculare,Round-headed Rampion,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Phyteuma"
phyteuma spicatum,Spiked rampion,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Phyteuma"
triodanis biflora,Venus's looking-glass,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Triodanis"
triodanis perfoliata,clasping Venus's looking glass,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Triodanis"
wahlenbergia albomarginata,New Zealand Harebell,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Wahlenbergia"
wahlenbergia marginata,southern rockbell,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Campanuloideae,Wahlenbergia"
goodenia ovata,hop goodenia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Goodeniaceae,Goodenia"
scaevola plumieri,coastal inkberry,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Goodeniaceae,Scaevola"
scaevola taccada,beach naupaka,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Goodeniaceae,Scaevola"
selliera radicans,Selliera,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Goodeniaceae,Goodenia"
menyanthes trifoliata,Bogbean,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Menyanthaceae,Menyanthes"
nephrophyllidium crista-galli,Deer-cabbage,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Menyanthaceae,Nephrophyllidium"
nymphoides indica,Water Snowflake,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Menyanthaceae,Nymphoides"
carpodetus serratus,Marble leaf,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Rousseaceae,Carpodetus"
adelinia grande,Pacific hound's tongue,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Cynoglosseae,Adelinia"
aegonychon purpurocaeruleum,Purple Gromwell,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Lithospermeae,Aegonychon"
amsinckia menziesii,Common Fiddleneck,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia"
amsinckia tessellata,Bristly Fiddleneck,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia"
anchusa arvensis,small bugloss,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Boragineae,Boragininae,Anchusa"
anchusa officinalis,common alkanet,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Boragineae,Boragininae,Anchusa"
andersonglossum virginianum,wild comfrey,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Cynoglosseae,Andersonglossum"
borago officinalis,Borage,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Boragineae,Boragininae,Borago"
buglossoides arvensis,corn gromwell,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Lithospermeae,Buglossoides"
cordia boissieri,Anacahuita,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cordioideae,Cordia"
cordia sebestena,Scarlet Cordia,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cordioideae,Cordia"
cynoglossum officinale,hound's-tongue,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Cynoglosseae,Cynoglossum"
echium candicans,Pride of Madeira,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Lithospermeae,Echium"
echium plantagineum,purple viper's-bugloss,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Lithospermeae,Echium"
echium vulgare,viper's-bugloss,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Lithospermeae,Echium"
ehretia anacua,Anacua,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Ehretioideae,Ehretia"
emmenanthe penduliflora,whispering bells,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Hydrophylloideae,Emmenanthe"
eriodictyon californicum,California yerba santa,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Namoideae,Eriodictyon"
eriodictyon crassifolium,Thick-leaved Yerba Santa,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Namoideae,Eriodictyon"
eriodictyon trichocalyx,Hairy Yerba Santa,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Namoideae,Eriodictyon"
eucrypta chrysanthemifolia,common eucrypta,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Hydrophylloideae,Eucrypta"
euploca procumbens,fourspike heliotrope,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Heliotropioideae,Euploca"
euploca tenella,Pasture Heliotrope,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Heliotropioideae,Euploca"
hackelia virginiana,virginia stickseed,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Rochelieae,Hackelia"
heliotropium angiospermum,Scorpion's-tail,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Heliotropioideae,Heliotropium"
heliotropium arboreum,tree heliotrope,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Heliotropioideae,Heliotropium"
heliotropium curassavicum,alkali heliotrope,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Heliotropioideae,Heliotropium"
heliotropium europaeum,European heliotrope,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Heliotropioideae,Heliotropium"
heliotropium indicum,Indian Heliotrope,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Heliotropioideae,Heliotropium"
hydrophyllum appendiculatum,great waterleaf,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Hydrophylloideae,Hydrophyllum"
hydrophyllum canadense,Broad-leaf Waterleaf,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Hydrophylloideae,Hydrophyllum"
hydrophyllum capitatum,ballhead waterleaf,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Hydrophylloideae,Hydrophyllum"
hydrophyllum tenuipes,Pacific Waterleaf,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Hydrophylloideae,Hydrophyllum"
hydrophyllum virginianum,Virginia waterleaf,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Hydrophylloideae,Hydrophyllum"
johnstonella angustifolia,narrow-leaved cryptantha,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Cynoglosseae,Johnstonella"
lithospermum canescens,hoary puccoon,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Lithospermeae,Lithospermum"
lithospermum caroliniense,hairy puccoon,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Lithospermeae,Lithospermum"
lithospermum incisum,narrowleaf puccoon,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Lithospermeae,Lithospermum"
lithospermum officinale,Common Gromwell,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Lithospermeae,Lithospermum"
lithospermum ruderale,western stoneseed,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Lithospermeae,Lithospermum"
mertensia ciliata,mountain bluebells,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Asperugeae,Mertensia"
mertensia maritima,Oysterplant,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Asperugeae,Mertensia"
mertensia paniculata,Tall Bluebell,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Asperugeae,Mertensia"
mertensia virginica,Virginia bluebells,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Asperugeae,Mertensia"
myosotis arvensis,field forget-me-not,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis"
myosotis discolor,Changing Forget-me-not,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis,Myosotis discolor"
myosotis latifolia,broadleaf forget-me-not,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis"
myosotis scorpioides,water forget-me-not,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis"
myosotis sylvatica,Wood Forget-me-not,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis"
nama demissa,purple mat,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Namoideae,Nama"
nama hispida,rough nama,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Namoideae,Nama"
nemophila heterophylla,White nemophila,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Hydrophylloideae,Nemophila"
nemophila maculata,fivespot,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Hydrophylloideae,Nemophila"
nemophila menziesii,Menzies' baby blue eyes,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Hydrophylloideae,Nemophila"
nemophila parviflora,small-flowered nemophila,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Hydrophylloideae,Nemophila"
nemophila phacelioides,Texas baby blue eyes,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Hydrophylloideae,Nemophila"
nonea pulla,Brown Monkwort,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Boragineae,Boragininae,Nonea"
nonea rossica,Brown Monkwort,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Boragineae,Boragininae,Nonea"
pentaglottis sempervirens,Green Alkanet,"Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,Boragineae,Boragininae,Pentaglottis"
